trade_id,ticket,position_id,symbol,direction,open_time,close_time,pnl,pattern_trigger,volatility_atr
20251023220000-AUDUSD-INBALANCE,11130041,11130041,AUDUSD,SELL,2025-10-23T22:00:00.261938,2025-10-24T07:43:07,14.4,INBALANCE,0.00025285538956475726
20251024020000-USDCAD-INBALANCE,11139824,11139824,USDCAD,BUY,2025-10-24T02:00:00.179105,2025-10-24T07:40:12,22.59,INBALANCE,0.00034110890171309895
20251024014500-XAUUSD-INBALANCE,11138710,11138710,XAUUSD,BUY,2025-10-24T01:45:00.186179,2025-10-24T09:24:56,-17.78,INBALANCE,10.701582514265628
20251024011500-EURUSD-ORDER_BLOCK,11137489,11137489,EURUSD,SELL,2025-10-24T01:15:00.223123,2025-10-24T10:25:34,29.97,ORDER_BLOCK,0.0003119563993702581
20251024014500-GBPUSD-INBALANCE,11138717,11138717,GBPUSD,SELL,2025-10-24T01:45:00.907333,2025-10-24T10:29:09,25.38,INBALANCE,0.00032283912739317576
